Trial,Smoothness,Noisiness,Path Length,Reconstruction Error,Inference Time
1,86.63366,0.520702,1.6999447,0.0007338828,0.07671856880187988
2,93.13988,0.301593,1.8074077,0.015044426,0.07420539855957031
3,208.35866,0.93338233,1.9250332,0.002387682,0.0831449031829834
4,149.22755,0.6389529,2.18053,0.00029710098,0.07259893417358398
5,130.0038,0.9783711,2.0255795,0.00015337764,0.07056879997253418
6,132.67365,0.66941845,1.7492294,0.010051628,0.07033491134643555
7,82.72464,0.38303578,1.67313,0.0010740479,0.07323122024536133
8,84.88268,0.34849727,1.8298079,0.0036163586,0.07154226303100586
9,141.8367,0.9653727,1.7054942,0.016431063,0.06958484649658203
10,56.838596,0.2255974,2.2503433,0.00063900533,0.0705420970916748
11,74.046844,0.33491176,1.6226646,0.021614056,0.08185386657714844
12,176.12096,1.2883954,2.027854,0.0002515424,0.06828808784484863
13,124.929825,0.5907775,1.8821763,0.0014172411,0.07932043075561523
14,86.15039,0.7250816,1.8145192,0.0005558368,0.0678248405456543
15,207.11703,0.9037312,1.8664111,0.0006494934,0.07557368278503418
16,120.39994,0.5811967,1.8174896,0.0013982404,0.06823849678039551
17,129.87039,0.7400831,1.8508028,0.007383388,0.06801176071166992
18,42.14371,0.115004115,2.5546138,0.00028069818,0.0666804313659668
19,176.47838,0.5373363,1.7871809,0.0010100784,0.06584692001342773
20,64.23141,0.21779326,2.10861,0.02105837,0.06780481338500977
21,101.44376,0.57142776,1.7085415,0.0063213725,0.07590174674987793
22,58.47375,0.32018048,1.7659888,0.0009747674,0.07105875015258789
23,136.75272,0.6400187,1.572912,8.917568e-05,0.08826851844787598
24,119.877335,0.5695496,1.8163478,0.001296195,0.09822249412536621
25,53.39785,0.14009552,1.6375275,0.0023051163,0.06941986083984375
26,180.16994,0.9638058,2.0796201,0.00079101976,0.07013988494873047
27,111.3319,0.5937524,1.7167195,0.007259513,0.06902694702148438
28,108.022896,0.65942866,1.9738133,0.0022279357,0.06754398345947266
29,136.06885,0.77851325,1.8406007,0.0002658389,0.07907223701477051
30,142.1317,0.65075284,1.8467422,0.0007444526,0.07102274894714355
