pair_id,algo,x,y
6,RRT,47.94,56.38
6,RRT,49.67,53.92
6,RRT,47.82,51.56
6,RRT,46.2,49.04
6,RRT,44.53,46.55
6,RRT,41.8,45.31
6,RRT,41.13,42.39
6,RRT,38.15,41.97
6,RRT,36.79,39.3
6,RRT,36.75,36.3
6,RRT,35.13,33.78
6,RRT,36.18,30.97
6,RRT,37.58,28.32
6,RRT,39.43,25.96
6,RRT,41.67,23.97
6,RRT,44.66,24.21
6,RRT,47.51,23.27
6,RRT,49.98,21.56
6,RRT,52.71,20.32
6,RRT,55.44,19.08
6,RRT,58.17,17.84
6,RRT,60.54,16.0
6,RRT,63.35,14.93
6,RRT,65.7,13.07
6,RRT,68.64,12.48
6,RRT,71.0,12.0
7,RRT,61.0,3.0
7,RRT,62.79,5.41
7,RRT,63.85,8.21
7,RRT,62.05,10.61
7,RRT,60.29,13.04
7,RRT,58.12,15.11
7,RRT,57.04,17.91
7,RRT,57.35,20.89
7,RRT,57.74,23.87
7,RRT,58.93,26.62
7,RRT,57.08,28.98
7,RRT,55.19,31.31
7,RRT,53.26,33.61
7,RRT,50.26,33.59
7,RRT,50.88,34.2
7,RRT,48.78,36.35
7,RRT,49.36,39.29
7,RRT,50.64,42.01
7,RRT,53.09,43.74
7,RRT,52.37,46.65
7,RRT,55.17,47.74
7,RRT,57.1,50.03
7,RRT,57.42,53.02
7,RRT,56.12,55.72
7,RRT,54.33,58.13
7,RRT,53.35,60.96
7,RRT,54.09,63.87
7,RRT,55.17,66.67
7,RRT,52.87,68.6
7,RRT,49.92,69.15
7,RRT,47.29,70.58
7,RRT,44.33,71.05
7,RRT,41.36,71.52
7,RRT,38.4,71.99
7,RRT,35.44,72.46
7,RRT,32.88,70.89
7,RRT,31.04,68.52
7,RRT,28.98,70.7
7,RRT,26.03,71.26
7,RRT,23.21,72.28
7,RRT,20.22,72.15
7,RRT,17.57,73.56
7,RRT,14.92,74.97
7,RRT,13.0,76.0
8,RRT,57.0,18.0
8,RRT,58.05,20.81
8,RRT,58.22,23.8
8,RRT,55.97,25.79
8,RRT,53.0,26.23
8,RRT,52.77,29.22
8,RRT,52.97,32.21
8,RRT,54.7,34.66
8,RRT,56.91,36.69
8,RRT,58.62,39.16
8,RRT,61.1,40.85
8,RRT,61.25,43.84
8,RRT,59.35,46.16
